ID,Income,Kids,Teens,Age,Marital Status,Education Level,State,Campaign Purchase,Complaint,Pilot,Enrollment,Recency,Teas,Fruits,Meats,Seafood,Sweets,Premium,Regular,Deals,Website,Catalog,Store,Visits
1428,120130,0,0,46,Married,Without Learning,State-Florida,None,0,0,8/21/2020,99,0,36,18,42,36,72,60,1,1,0,3,8
2152,120130,0,0,46,Married,Without Learning,State-Other,None,0,0,8/21/2020,99,0,36,18,42,36,72,60,1,1,0,3,8
2014,131056,1,0,43,Married,Without Learning,State-Other,None,0,0,6/29/2019,99,21,42,55,13,34,68,97,1,1,0,3,8
2660,142231,1,1,51,Married,Graduate,State-New York,None,0,0,8/29/2020,99,81,0,27,0,3,13,98,1,1,0,3,5
1196,144794,0,1,54,Married,Graduate,State-New York,None,0,0,11/12/2020,99,175,0,23,0,0,13,184,1,2,0,3,6
1706,144794,0,1,54,Married,Graduate,State-New York,None,0,0,11/12/2020,99,175,0,23,0,0,13,184,1,2,0,3,6
1037,142429,0,1,47,Widow,Graduate,State-California,None,0,0,7/18/2020,99,185,0,20,7,0,13,198,2,1,1,3,5
1590,142429,0,1,47,Widow,Graduate,State-Florida,None,0,0,7/18/2020,99,185,0,20,7,0,13,198,2,1,1,3,5
2449,194871,0,2,51,Married,PhD,State-Illinois,MC4,0,1,2/6/2019,99,347,49,1136,386,0,296,1623,1,8,5,4,7
1475,146310,1,0,44,Divorced,Graduate,State-California,None,0,0,5/10/2019,99,584,6,278,47,16,44,888,2,6,1,5,8
2869,169719,0,0,46,Single,Graduate,State-Illinois,None,0,0,10/30/2020,99,665,209,506,431,34,105,1741,1,2,3,5,1
2518,165819,0,0,42,Married,Graduate,State-Other,None,0,0,5/6/2019,99,673,96,1766,375,416,159,3167,1,5,4,10,3
1681,178901,0,1,47,Divorced,Graduate,State-Illinois,None,0,0,2/22/2020,99,728,25,701,75,59,77,1510,3,9,3,5,4
1667,166476,0,1,44,Divorced,PhD,State-California,None,0,0,8/12/2019,99,932,45,316,118,120,195,1335,2,5,2,11,4
2795,162568,0,1,58,Together,Graduate,State-California,MC1,0,0,9/11/2020,99,941,44,1034,208,91,158,2159,3,5,3,5,4
2775,178416,0,1,44,Together,Graduate,State-Texas,None,0,0,12/1/2020,99,1031,86,635,428,86,416,1850,2,7,7,10,3
1529,124683,1,0,30,Married,Without Learning,State-California,None,0,0,8/12/2020,98,40,20,51,30,35,30,146,2,2,0,4,5
3004,107500,1,0,35,Together,Without Learning,State-Other,None,0,0,1/6/2019,98,72,244,244,186,201,487,459,4,2,1,3,9
