ID,Income,Kids,Teens,Age,Divorced,Married,Single,Together,Widow,Basic,Graduate,Master,PhD,State
2873,213734,0,0,75,0,0,1,0,0,0,0,0,1,State-California
1629,205471,0,0,50,0,0,0,1,0,0,1,0,0,State-Texas
1239,202692,0,0,46,1,0,0,0,0,0,1,0,0,State-Texas
1191,202160,0,0,43,0,0,0,1,0,0,0,0,1,State-Texas
1116,201970,0,0,37,0,0,1,0,0,0,1,0,0,State-Florida
1633,198777,0,0,60,0,0,1,0,0,0,0,1,0,State-Illinois
2094,198777,0,0,60,0,0,1,0,0,0,0,1,0,State-Florida
2987,196876,0,0,43,0,0,0,1,0,0,1,0,0,State-California
2933,196843,0,0,30,0,0,1,0,0,0,1,0,0,State-California
2970,196547,0,0,40,0,1,0,0,0,0,0,0,0,State-Florida
1895,195529,0,0,26,0,0,1,0,0,0,1,0,0,State-California
1982,195169,0,0,33,0,0,1,0,0,0,0,0,1,State-New York
2449,194871,0,2,51,0,1,0,0,0,0,0,0,1,State-Illinois
2957,194642,0,0,69,0,1,0,0,0,0,1,0,0,State-California
2968,194472,0,1,62,0,0,1,0,0,0,1,0,0,State-Other
1924,194384,0,0,67,0,0,0,1,0,0,1,0,0,State-Other
2281,194384,0,0,67,0,0,0,1,0,0,1,0,0,State-Illinois
2434,193790,0,0,50,0,0,1,0,0,0,1,0,0,State-Other
1807,193404,1,2,66,0,1,0,0,0,0,1,0,0,State-Illinois
1408,193027,0,0,79,0,1,0,0,0,0,0,0,1,State-Other
1947,192955,0,0,47,0,1,0,0,0,0,1,0,0,State-Texas
1410,192910,0,0,34,0,1,0,0,0,0,1,0,0,State-Florida
1130,192859,0,0,28,0,0,1,0,0,0,0,1,0,State-New York
2885,192556,0,0,60,0,0,0,1,0,0,0,0,0,State-California
2408,192533,0,0,35,0,1,0,0,0,0,1,0,0,State-New York
2696,192491,0,0,37,0,1,0,0,0,0,0,0,1,State-New York
2362,192344,0,0,72,0,1,0,0,0,0,1,0,0,State-Other
1575,192163,0,0,45,0,1,0,0,0,0,0,1,0,State-Texas
1795,191820,0,0,34,0,0,0,1,0,0,0,0,1,State-Illinois
2967,191712,0,0,73,0,0,1,0,0,0,0,1,0,State-Texas
2012,191700,0,0,49,0,0,1,0,0,0,1,0,0,State-New York
2897,191249,0,0,64,0,0,1,0,0,0,1,0,0,State-California
3135,191172,0,0,30,0,0,1,0,0,0,0,1,0,State-Texas
1402,191065,0,0,39,0,0,1,0,0,0,1,0,0,State-Other
2872,190933,0,0,66,0,0,1,0,0,0,0,0,1,State-Other
2313,190842,0,0,72,0,0,1,0,0,0,1,0,0,State-Texas
