ID,Recency,Teas,Fruits,Meats,Seafood,Sweets,Premium,Regular,Deals,Website,Catalog,Store,Visits
1428,99,0,36,18,42,36,72,60,1,1,0,3,8
2152,99,0,36,18,42,36,72,60,1,1,0,3,8
2014,99,21,42,55,13,34,68,97,1,1,0,3,8
2660,99,81,0,27,0,3,13,98,1,1,0,3,5
1196,99,175,0,23,0,0,13,184,1,2,0,3,6
1706,99,175,0,23,0,0,13,184,1,2,0,3,6
1037,99,185,0,20,7,0,13,198,2,1,1,3,5
1590,99,185,0,20,7,0,13,198,2,1,1,3,5
2449,99,347,49,1136,386,0,296,1623,1,8,5,4,7
1475,99,584,6,278,47,16,44,888,2,6,1,5,8
2869,99,665,209,506,431,34,105,1741,1,2,3,5,1
2518,99,673,96,1766,375,416,159,3167,1,5,4,10,3
1681,99,728,25,701,75,59,77,1510,3,9,3,5,4
1667,99,932,45,316,118,120,195,1335,2,5,2,11,4
2795,99,941,44,1034,208,91,158,2159,3,5,3,5,4
2775,99,1031,86,635,428,86,416,1850,2,7,7,10,3
1529,98,40,20,51,30,35,30,146,2,2,0,4,5
3004,98,72,244,244,186,201,487,459,4,2,1,3,9
2687,98,151,7,38,7,10,24,189,1,1,0,4,5
2136,98,187,0,59,0,0,11,235,4,2,1,3,7
3133,98,258,4,83,17,0,29,333,2,2,1,3,8
1906,98,372,143,1106,51,122,586,1208,3,6,1,6,8
2684,98,566,34,88,9,34,20,711,1,3,3,5,3
2037,98,643,17,178,0,17,50,804,4,6,1,4,8
3016,98,953,196,1431,35,224,224,2615,10,4,6,9,7
1777,98,1159,68,329,182,34,85,1687,3,10,3,7,6
1180,98,1162,55,1077,366,282,254,2688,1,8,7,12,3
1818,98,1252,111,1721,62,69,416,2800,1,7,7,12,3
1671,98,1366,0,71,18,0,12,1443,6,4,5,7,6
2353,98,1366,0,71,18,0,12,1443,6,4,5,7,6
2100,98,1588,34,184,72,16,91,1804,5,11,1,6,9
2030,98,1746,42,295,55,19,84,2074,6,6,2,11,5
2242,98,2065,36,1413,48,71,107,3526,1,6,2,8,2
1227,98,2128,144,1788,439,385,47,4836,1,6,5,10,3
2218,98,2171,33,902,216,65,166,3221,1,5,6,12,2
3094,98,2171,33,902,216,65,166,3221,1,5,6,12,2
2757,98,2344,352,428,92,117,76,3257,1,9,4,10,6
2347,97,18,15,36,7,7,25,58,1,1,0,3,8
2255,97,31,31,151,63,78,42,313,3,2,1,3,8
3013,97,39,0,129,54,18,43,197,1,2,0,3,7
3029,97,76,0,34,9,0,46,73,1,1,0,3,4
2277,97,79,8,55,12,0,39,114,1,2,0,2,9
2955,97,142,172,314,56,71,223,532,3,4,0,4,9
2980,97,150,0,56,9,0,9,206,2,2,0,3,8
2715,97,380,3,34,0,8,89,335,2,4,1,3,6
1244,97,438,105,276,89,76,38,946,4,3,2,7,3
1494,97,447,4,197,0,4,109,542,3,4,2,3,7
2116,97,500,15,322,33,24,87,808,2,5,1,6,6
2511,97,550,106,534,127,79,26,1369,6,5,1,5,9
2801,97,760,17,154,23,9,142,820,2,5,2,6,5
1228,97,970,289,701,190,315,96,2369,2,6,4,4,3
2846,97,1001,418,372,364,255,139,2272,2,7,6,11,4
1878,97,1721,314,806,364,385,139,3451,2,10,6,7,4
2773,97,1892,67,180,28,113,44,2237,2,6,3,4,4
2233,97,2295,135,606,263,135,62,3372,2,11,10,11,6
2644,97,2295,135,606,263,135,62,3372,2,11,10,11,6
1807,97,2648,31,594,41,0,31,3284,3,3,4,7,5
1167,96,7,0,18,7,0,4,29,1,0,0,3,2
1423,96,14,158,72,57,86,129,258,2,2,0,3,8
2414,96,47,121,37,10,87,117,184,1,1,1,4,2
3150,96,47,121,37,10,87,117,184,1,1,1,4,2
1830,96,61,15,115,0,76,137,130,4,3,1,3,5
3041,96,79,4,83,66,58,116,174,2,3,0,4,5
1860,96,82,157,260,205,123,48,780,4,3,1,3,9
1473,96,108,5,488,131,131,63,799,1,4,1,4,8
1767,96,123,14,130,0,14,41,239,5,3,0,4,7
2572,96,123,14,130,0,14,41,239,5,3,0,4,7
1937,96,307,72,118,11,390,372,527,3,5,2,6,5
2350,96,392,16,143,30,22,47,557,2,4,1,5,5
2925,96,426,0,21,0,0,18,429,1,3,1,4,5
1141,96,872,43,121,58,33,33,1094,4,8,1,6,6
1987,96,1002,116,727,51,96,177,1816,2,6,5,10,3
2191,96,1041,10,81,13,10,67,1088,2,5,1,7,7
1028,96,1492,218,1748,46,144,0,3648,1,6,9,10,2
2187,96,1492,218,1748,46,144,0,3648,1,6,9,10,2
2462,96,1697,287,1552,45,34,70,3545,1,4,6,4,2
1689,96,1785,0,113,0,0,479,1419,3,2,4,5,7
1668,96,1934,219,1803,286,219,86,4376,1,5,6,10,2
1865,96,1934,219,1803,286,219,86,4376,1,5,6,10,2
2132,96,2213,311,484,225,276,91,3418,3,10,4,7,6
2064,95,17,0,28,7,0,0,52,1,0,0,3,4
2671,95,37,3,14,7,0,24,37,1,1,0,2,7
2884,95,63,17,54,0,0,79,54,1,1,1,2,7
1080,95,75,35,62,44,18,13,220,2,1,0,4,7
1245,95,76,25,13,63,38,63,152,4,2,0,4,5
2782,95,76,25,13,63,38,63,152,4,2,0,4,5
2083,95,432,68,741,90,68,194,1205,6,7,2,5,8
2723,95,758,51,501,248,224,362,1419,3,7,3,10,5
1105,95,1060,95,270,63,43,48,1483,1,6,7,11,3
2020,95,1112,0,415,40,81,381,1266,4,6,3,8,5
1324,95,1120,47,2044,184,290,93,3591,1,4,5,11,3
2586,95,1120,47,2044,184,290,93,3591,1,4,5,11,3
1334,95,1191,79,614,26,79,19,1971,4,6,7,9,4
3047,95,1529,293,1010,295,195,227,3094,1,9,6,5,5
1856,95,1721,49,1119,470,320,74,3605,1,4,8,5,2
2259,95,1763,50,254,132,151,502,1847,0,6,7,9,3
2520,95,1845,0,336,29,20,88,2143,3,9,2,10,7
1505,95,2319,172,829,132,33,413,3072,1,2,4,6,5
1843,94,0,29,43,57,14,72,72,1,0,0,3,6
1097,94,5,15,30,51,0,46,56,1,1,0,3,5
2619,94,5,15,30,51,0,46,56,1,1,0,3,5
2166,94,27,22,44,11,0,27,77,1,1,0,3,5
1573,94,41,46,46,10,26,113,56,1,1,1,3,4
1611,94,74,70,129,94,4,31,339,3,3,0,3,9
1889,94,90,0,90,0,15,12,182,1,2,0,3,5
1815,94,96,4,34,8,4,4,141,2,1,0,3,8
1600,94,102,0,19,0,0,11,110,2,1,0,3,8
2352,94,102,0,19,0,0,11,110,2,1,0,3,8
2108,94,128,0,53,9,3,50,144,2,1,1,3,3
2248,94,152,24,55,37,49,195,122,3,2,1,3,7
2174,94,227,34,89,26,16,26,365,1,4,0,4,5
1676,94,241,10,47,8,8,16,298,1,2,1,4,3
2919,94,265,23,148,12,23,160,312,2,2,2,3,7
1138,94,278,11,342,46,4,122,559,7,4,1,4,8
1367,94,278,11,342,46,4,122,559,7,4,1,4,8
3135,94,340,59,1715,0,59,117,2055,0,4,3,7,3
1005,94,470,117,320,125,73,41,1064,5,5,3,6,5
2877,94,643,17,189,47,17,26,886,1,4,4,6,2
1576,94,710,309,1544,321,309,401,2791,1,3,7,9,1
1938,94,753,14,667,197,117,238,1511,4,5,5,8,5
1812,94,1070,49,476,21,15,442,1189,1,6,4,7,6
1886,94,1075,200,851,422,24,524,2047,1,3,4,10,0
3011,94,1292,191,598,216,142,142,2297,4,10,3,12,6
2284,94,1308,173,901,225,347,173,2782,1,5,5,8,3
2008,93,31,61,84,145,92,199,214,2,2,1,2,9
1181,93,82,11,75,11,68,79,168,2,3,0,3,8
1608,93,83,17,125,17,8,50,200,2,2,0,3,6
1208,93,96,35,80,93,3,58,251,1,1,1,4,3
3036,93,97,3,37,0,0,0,137,2,2,0,3,4
2906,93,402,77,315,20,42,171,685,2,4,2,7,3
2156,93,573,6,59,25,25,12,675,3,2,2,6,5
1873,93,588,71,1028,92,129,403,1505,1,3,10,11,1
1496,93,725,52,207,24,30,18,1020,3,6,2,5,7
1907,93,851,53,879,572,27,247,2136,1,4,5,9,2
1468,93,896,62,220,264,163,40,1566,1,5,9,4,3
1462,93,969,57,102,16,0,240,904,4,6,2,7,5
2422,93,1100,80,1262,164,365,39,2932,1,4,4,9,2
2050,93,1106,110,952,27,20,42,2173,1,3,7,13,2
1295,93,1303,0,69,0,0,26,1347,1,8,3,6,7
1335,93,1568,191,1087,124,256,222,3004,2,8,4,8,4
1686,93,1568,191,1087,124,256,222,3004,2,8,4,8,4
3087,93,1946,100,1073,131,134,367,3017,1,3,10,8,2
2423,93,2065,23,286,32,0,136,2270,4,10,7,5,8
2888,93,2323,114,1142,148,114,304,3538,3,5,5,5,8
2542,93,2379,161,651,0,31,31,3191,4,5,4,10,4
1363,92,13,38,55,8,51,51,115,1,1,0,3,7
1929,92,21,7,63,7,28,49,77,1,2,0,3,4
2510,92,26,190,37,0,53,238,69,2,3,0,3,8
1045,92,44,20,51,10,17,44,98,1,2,0,2,10
1484,92,61,9,98,19,0,112,75,2,1,1,2,8
1604,92,71,33,50,46,62,133,129,1,2,1,2,7
2054,92,113,0,18,7,0,28,109,2,2,0,3,5
2022,92,121,4,50,0,0,18,157,3,2,0,3,8
2547,92,121,4,50,0,0,18,157,3,2,0,3,8
1240,92,215,224,248,100,96,119,764,2,3,1,5,6
1639,92,215,224,248,100,96,119,764,2,3,1,5,6
1430,92,254,47,248,44,17,33,576,2,5,0,4,8
2234,92,311,63,984,30,456,166,1679,2,7,3,5,4
2589,92,395,8,505,91,28,39,986,4,5,1,5,8
1745,92,473,82,711,107,40,529,883,1,2,11,5,1
1915,92,473,82,711,107,40,529,883,1,2,11,5,1
2376,92,533,5,114,8,13,93,581,4,5,1,5,6
2412,92,533,5,114,8,13,93,581,4,5,1,5,6
3083,92,599,10,574,64,10,137,1118,5,7,1,6,7
3015,92,608,141,593,166,126,448,1186,1,5,4,8,4
2688,92,767,114,2100,464,79,58,3467,1,5,8,12,3
2988,92,890,476,476,812,504,117,3041,6,11,2,8,9
1732,92,1029,24,194,50,12,12,1297,2,3,2,10,3
2781,92,1215,60,495,75,30,4364,-2490,0,23,1,1,0
1471,92,1337,32,290,43,16,240,1479,2,7,2,10,6
3038,92,1355,87,331,57,376,267,1941,2,4,5,4,2
