TIME_KEY,YEAR,MONTH,DAY,WEEK_OF_YEAR,QUARTER
20180101,2018,1,1,1,1
20180102,2018,1,2,1,1
20180103,2018,1,3,1,1
20180104,2018,1,4,1,1
20180105,2018,1,5,1,1
20180106,2018,1,6,1,1
20180107,2018,1,7,1,1
20180108,2018,1,8,2,1
20180109,2018,1,9,2,1
20180110,2018,1,10,2,1
20180111,2018,1,11,2,1
20180112,2018,1,12,2,1
20180113,2018,1,13,2,1
20180114,2018,1,14,2,1
20180115,2018,1,15,3,1
20180116,2018,1,16,3,1
20180117,2018,1,17,3,1
20180118,2018,1,18,3,1
20180119,2018,1,19,3,1
20180120,2018,1,20,3,1
20180121,2018,1,21,3,1
20180122,2018,1,22,4,1
20180123,2018,1,23,4,1
20180124,2018,1,24,4,1
20180125,2018,1,25,4,1
20180126,2018,1,26,4,1
20180127,2018,1,27,4,1
20180128,2018,1,28,4,1
20180129,2018,1,29,5,1
20180130,2018,1,30,5,1
20180131,2018,1,31,5,1
20180201,2018,2,1,5,1
20180202,2018,2,2,5,1
20180203,2018,2,3,5,1
20180204,2018,2,4,5,1
20180205,2018,2,5,6,1
20180206,2018,2,6,6,1
20180207,2018,2,7,6,1
20180208,2018,2,8,6,1
20180209,2018,2,9,6,1
20180210,2018,2,10,6,1
20180211,2018,2,11,6,1
20180212,2018,2,12,7,1
20180213,2018,2,13,7,1
20180214,2018,2,14,7,1
20180215,2018,2,15,7,1
20180216,2018,2,16,7,1
20180217,2018,2,17,7,1
20180218,2018,2,18,7,1
20180219,2018,2,19,8,1
20180220,2018,2,20,8,1
20180221,2018,2,21,8,1
20180222,2018,2,22,8,1
20180223,2018,2,23,8,1
20180224,2018,2,24,8,1
20180225,2018,2,25,8,1
20180226,2018,2,26,9,1
20180227,2018,2,27,9,1
20180228,2018,2,28,9,1
20180301,2018,3,1,9,1
20180302,2018,3,2,9,1
20180303,2018,3,3,9,1
20180304,2018,3,4,9,1
20180305,2018,3,5,10,1
20180306,2018,3,6,10,1
20180307,2018,3,7,10,1
20180308,2018,3,8,10,1
20180309,2018,3,9,10,1
20180310,2018,3,10,10,1
20180311,2018,3,11,10,1
20180312,2018,3,12,11,1
20180313,2018,3,13,11,1
20180314,2018,3,14,11,1
20180315,2018,3,15,11,1
20180316,2018,3,16,11,1
20180317,2018,3,17,11,1
20180318,2018,3,18,11,1
20180319,2018,3,19,12,1
20180320,2018,3,20,12,1
20180321,2018,3,21,12,1
20180322,2018,3,22,12,1
20180323,2018,3,23,12,1
20180324,2018,3,24,12,1
20180325,2018,3,25,12,1
20180326,2018,3,26,13,1
20180327,2018,3,27,13,1
20180328,2018,3,28,13,1
20180329,2018,3,29,13,1
20180330,2018,3,30,13,1
20180331,2018,3,31,13,1
20180401,2018,4,1,13,2
20180402,2018,4,2,14,2
20180403,2018,4,3,14,2
20180404,2018,4,4,14,2
20180405,2018,4,5,14,2
20180406,2018,4,6,14,2
20180407,2018,4,7,14,2
20180408,2018,4,8,14,2
20180409,2018,4,9,15,2
20180410,2018,4,10,15,2
20180411,2018,4,11,15,2
20180412,2018,4,12,15,2
20180413,2018,4,13,15,2
20180414,2018,4,14,15,2
20180415,2018,4,15,15,2
20180416,2018,4,16,16,2
20180417,2018,4,17,16,2
20180418,2018,4,18,16,2
20180419,2018,4,19,16,2
20180420,2018,4,20,16,2
20180421,2018,4,21,16,2
20180422,2018,4,22,16,2
20180423,2018,4,23,17,2
20180424,2018,4,24,17,2
20180425,2018,4,25,17,2
20180426,2018,4,26,17,2
20180427,2018,4,27,17,2
20180428,2018,4,28,17,2
20180429,2018,4,29,17,2
20180430,2018,4,30,18,2
20180501,2018,5,1,18,2
20180502,2018,5,2,18,2
20180503,2018,5,3,18,2
20180504,2018,5,4,18,2
20180505,2018,5,5,18,2
20180506,2018,5,6,18,2
20180507,2018,5,7,19,2
20180508,2018,5,8,19,2
20180509,2018,5,9,19,2
20180510,2018,5,10,19,2
20180511,2018,5,11,19,2
20180512,2018,5,12,19,2
20180513,2018,5,13,19,2
20180514,2018,5,14,20,2
20180515,2018,5,15,20,2
20180516,2018,5,16,20,2
20180517,2018,5,17,20,2
20180518,2018,5,18,20,2
20180519,2018,5,19,20,2
20180520,2018,5,20,20,2
20180521,2018,5,21,21,2
20180522,2018,5,22,21,2
20180523,2018,5,23,21,2
20180524,2018,5,24,21,2
20180525,2018,5,25,21,2
20180526,2018,5,26,21,2
20180527,2018,5,27,21,2
20180528,2018,5,28,22,2
20180529,2018,5,29,22,2
20180530,2018,5,30,22,2
20180531,2018,5,31,22,2
