TIME_KEY,PRODUCT_KEY,UNITS_SOLD,DOLLARS_SOLD,CHANNEL,CUSTOMER_KEY,DESTINATION_STATE
20191104,339695,1,5800,Fort Lauderdale,1830,
20190512,293442,1,14,Website,4814,US-Colorado
20180905,239457,1,3509,Website,5185,US-Massachussets
20191121,392001,1,1899,Fort Lauderdale,3388,
20180613,443553,1,159,Website,7557,US-Delaware
20181108,421493,1,499,Fort Lauderdale,7701,
20191224,429913,1,3999,West Palm Beach,959,
20190711,404408,1,1599,Website,5685,US-New Mexico
20180612,324591,1,33,Website,6581,US-Georgia
20190720,332661,1,4500,West Palm Beach,723,
20181230,246596,1,549,Fort Lauderdale,1709,
20190220,359438,1,1899,Website,6920,US-Pennsylvania
20181115,416544,1,10799,West Palm Beach,483,
20181228,265061,2,10,Fort Lauderdale,5466,
20191106,289559,1,4699,Website,4502,US-Maine
20180606,335828,1,256000,West Palm Beach,5233,
20180713,285919,1,249,Website,6540,US-Utah
20190827,229488,1,231,Fort Lauderdale,4016,
20190512,293442,1,14,Website,4814,US-Colorado
20180905,386755,3,15000,West Palm Beach,7726,
20191218,420013,2,5998,Fort Lauderdale,1439,
20191022,291118,1,99,Fort Lauderdale,3484,
20180426,460568,1,1499,Website,5212,US-Delaware
20180728,374676,2,3998,Tampa,3146,
20180905,239457,1,3509,Website,5185,US-Massachussets
20180426,460568,1,1499,Website,5212,US-Delaware
20190720,332661,1,4500,West Palm Beach,723,
20180209,283445,1,3899,Website,7770,US-New York
20180806,388923,1,7499,Website,2926,US-Delaware
20190617,353914,1,2099,Fort Lauderdale,998,
20191209,248656,1,99,Website,5137,US-Kentucky
20191218,420013,2,5998,Fort Lauderdale,1439,
20181228,265061,2,10,Fort Lauderdale,5466,
20181209,385470,1,7499,Website,3596,US-Nevada
20190512,293442,1,14,Website,4814,US-Colorado
20190617,353914,1,2099,Fort Lauderdale,998,
20180905,386755,3,15000,West Palm Beach,7726,
20190615,348074,1,3629,West Palm Beach,1172,
20180509,418876,2,408,Fort Lauderdale,5301,
20181030,404267,1,1999,Website,3096,US-New York
20181010,210302,2,478,West Palm Beach,4389,
20190827,229488,1,231,Fort Lauderdale,4016,
20190827,229488,1,231,Fort Lauderdale,4016,
20180612,324591,1,33,Website,6581,US-Georgia
20191112,220877,1,14,Fort Lauderdale,7487,
20181030,404267,1,1999,Website,3096,US-New York
20191104,339695,1,5800,Fort Lauderdale,1830,
20181115,416544,1,10799,West Palm Beach,483,
20191224,429913,1,3999,West Palm Beach,959,
20191229,385416,2,3998,Website,4814,US-North Carolina
20180905,239457,1,3509,Website,5185,US-Massachussets
20190913,452650,1,299,West Palm Beach,2753,
20190619,258162,1,11799,West Palm Beach,3110,
20181108,421493,1,499,Fort Lauderdale,7701,
20190720,332661,1,4500,West Palm Beach,723,
20190215,436225,2,2998,Fort Lauderdale,5899,
20190913,452650,1,299,West Palm Beach,2753,
20190925,307208,1,549,West Palm Beach,5137,
20190501,257058,1,269,Website,3027,US-New York
20190731,215624,2,7998,Website,3248,US-Pennsylvania
20190310,270105,1,2499,Website,4312,US-Delaware
20180612,324591,1,33,Website,6581,US-Georgia
20181126,440305,1,89,Fort Lauderdale,5026,
20181010,210302,2,478,West Palm Beach,4389,
20191224,429913,1,3999,West Palm Beach,959,
20191108,201564,3,1497,Tampa,5899,
20191121,392001,1,1899,Fort Lauderdale,3388,
20190731,215624,2,7998,Website,3248,US-Pennsylvania
20181230,246596,1,549,Fort Lauderdale,1709,
20181115,416544,1,10799,West Palm Beach,483,
20180728,404221,1,799,West Palm Beach,1302,
20191112,220877,1,14,Fort Lauderdale,7487,
20191104,217716,1,29,Fort Lauderdale,4278,
20181010,210302,2,478,West Palm Beach,4389,
20180907,285795,1,2709,West Palm Beach,3027,
20191012,451845,1,2175,Website,4620,US-Massachussets
20180613,443553,1,159,Website,7557,US-Delaware
20191218,420013,2,5998,Fort Lauderdale,1439,
20191116,365952,2,14798,Fort Lauderdale,1709,
20191121,325542,2,3118,Tampa,494,
20190310,270105,1,2499,Website,4312,US-Delaware
20190720,332661,1,4500,West Palm Beach,723,
20181126,440305,1,89,Fort Lauderdale,5026,
20190711,404408,1,1599,Website,5685,US-New Mexico
20180613,443553,1,159,Website,7557,US-Delaware
20181008,249733,1,4200,Website,6113,US-Delaware
20181209,385470,1,7499,Website,3596,US-Nevada
20180728,404221,1,799,West Palm Beach,1302,
20180810,368819,1,199,Website,5481,US-North Carolina
20190711,404408,1,1599,Website,5685,US-New Mexico
20190617,353914,1,2099,Fort Lauderdale,998,
20181125,390932,1,3399,Tampa,6251,
20191012,451845,1,2175,Website,4620,US-Massachussets
20191106,289559,1,4699,Website,4502,US-Maine
20190304,338074,1,302,Website,2021,US-Virginia
20181102,325067,1,379,West Palm Beach,5397,
20181115,416544,1,10799,West Palm Beach,483,
20181010,210302,2,478,West Palm Beach,4389,
20180505,441354,1,1049,West Palm Beach,2613,
20190609,189645,1,15,Website,6204,US-Lousiana
20191112,455202,1,10,Website,1630,US-Kentucky
20180806,388923,1,7499,Website,2926,US-Delaware
20180713,285919,1,249,Website,6540,US-Utah
20180612,324591,1,33,Website,6581,US-Georgia
20190617,353914,1,2099,Fort Lauderdale,998,
20180606,335828,1,256000,West Palm Beach,5233,
20180505,441354,1,1049,West Palm Beach,2613,
20191118,427698,1,5895,Website,4936,US-Maine
20180612,324591,1,33,Website,6581,US-Georgia
20180105,447022,2,11598,Website,6821,US-Nebraska
20190619,258162,1,11799,West Palm Beach,3110,
20190615,348074,1,3629,West Palm Beach,1172,
20191229,385416,2,3998,Website,4814,US-North Carolina
