ID,MC3,MC4,MC5,MC1,MC2,Complaint,Pilot,Enrollment
1188,0,1,0,0,0,0,0,12/3/2020
1970,0,0,0,0,0,0,0,12/3/2020
1043,0,0,0,0,0,0,0,12/2/2020
1777,0,0,0,0,0,0,0,12/2/2020
2787,0,0,0,1,0,0,0,12/2/2020
1687,0,0,0,0,0,0,0,12/1/2020
2563,0,0,0,0,0,0,0,12/1/2020
2775,0,0,0,0,0,0,0,12/1/2020
1253,1,0,0,0,0,0,0,11/30/2020
1447,1,0,0,0,0,0,0,11/30/2020
3029,0,0,0,0,0,0,0,11/30/2020
3167,0,0,0,0,0,0,0,11/30/2020
1104,0,1,0,0,0,0,0,11/29/2020
1945,0,0,0,0,0,0,0,11/29/2020
2013,0,0,0,0,0,0,0,11/29/2020
2431,0,0,0,0,0,0,0,11/29/2020
3191,0,0,0,0,0,0,0,11/29/2020
3206,0,0,0,0,0,0,0,11/29/2020
1167,0,0,0,0,0,0,0,11/28/2020
2004,0,0,0,0,0,0,0,11/28/2020
2634,0,0,1,1,0,0,1,11/27/2020
2821,0,0,0,0,0,0,0,11/27/2020
1962,0,0,0,0,0,0,0,11/26/2020
1975,0,0,0,0,0,0,0,11/26/2020
2462,0,0,0,0,0,0,0,11/26/2020
2895,0,0,0,0,0,0,0,11/26/2020
3027,0,0,0,0,0,0,0,11/26/2020
1139,0,0,0,0,0,0,0,11/25/2020
2250,0,0,0,0,0,0,0,11/25/2020
2922,0,0,0,0,0,0,0,11/24/2020
3093,0,1,0,0,0,0,0,11/24/2020
1864,0,0,0,0,0,0,0,11/23/2020
2001,0,0,0,0,0,0,0,11/23/2020
2087,0,0,0,0,0,0,0,11/23/2020
2614,0,0,0,0,0,0,0,11/23/2020
1516,0,1,0,0,0,0,0,11/22/2020
2439,0,0,0,0,0,0,0,11/22/2020
2539,0,0,0,0,0,0,0,11/22/2020
1249,0,0,0,0,0,0,0,11/21/2020
2685,1,0,1,1,1,0,1,11/21/2020
2937,0,0,0,0,0,0,0,11/21/2020
1331,0,0,0,0,0,0,1,11/20/2020
2540,0,0,0,0,0,0,0,11/20/2020
2623,0,1,0,0,0,0,0,11/20/2020
2741,0,0,0,0,0,0,0,11/20/2020
1173,0,0,0,0,0,0,0,11/19/2020
1803,0,0,0,0,1,0,1,11/19/2020
2743,0,0,0,0,0,0,0,11/19/2020
2794,0,0,0,0,0,0,0,11/19/2020
2508,0,0,0,0,0,0,0,11/18/2020
1614,0,0,0,0,0,0,0,11/17/2020
2978,0,0,0,0,0,0,0,11/16/2020
1853,0,0,0,0,0,0,0,11/15/2020
2297,0,0,0,0,0,0,0,11/14/2020
2463,0,0,0,1,0,0,0,11/14/2020
3202,0,0,0,1,0,0,0,11/14/2020
3217,0,0,0,1,0,0,0,11/14/2020
1389,0,0,0,0,0,0,0,11/13/2020
2427,0,0,0,0,0,0,0,11/13/2020
3021,0,0,0,0,0,0,0,11/13/2020
1119,0,0,0,0,0,0,0,11/12/2020
1196,0,0,0,0,0,0,0,11/12/2020
1511,0,0,0,0,0,0,0,11/12/2020
1706,0,0,0,0,0,0,0,11/12/2020
1050,1,0,0,1,0,0,1,11/11/2020
1549,0,0,0,0,0,0,0,11/11/2020
2113,0,0,0,0,0,0,0,11/11/2020
2773,0,0,0,1,0,0,0,11/10/2020
1232,0,0,0,0,0,0,0,11/9/2020
1406,0,0,0,0,0,0,0,11/9/2020
2032,1,0,0,0,0,0,0,11/9/2020
2658,0,0,0,0,0,0,0,11/8/2020
1718,0,0,0,0,0,0,0,11/7/2020
2868,0,1,0,1,0,0,0,11/7/2020
2077,0,0,0,0,0,0,0,11/6/2020
3028,0,0,0,0,0,0,0,11/6/2020
1793,0,0,0,0,0,0,0,11/4/2020
2090,0,0,0,0,0,0,0,11/4/2020
1391,0,0,0,0,0,0,0,11/3/2020
1769,1,0,0,0,0,0,0,11/2/2020
2071,0,0,1,0,0,0,0,11/2/2020
2139,0,0,0,0,0,0,0,11/2/2020
2320,0,1,0,0,0,0,0,11/2/2020
2637,0,0,0,0,0,0,0,11/2/2020
2689,0,0,0,0,0,0,0,11/2/2020
1082,0,1,0,1,0,0,1,11/1/2020
2136,0,0,0,0,0,0,0,11/1/2020
2717,0,0,0,0,0,0,1,11/1/2020
2873,0,0,0,0,0,0,0,11/1/2020
1834,1,0,0,0,0,0,0,10/30/2020
2216,0,0,0,0,0,0,0,10/30/2020
2869,0,0,0,0,0,0,0,10/30/2020
1442,0,0,0,0,0,0,0,10/29/2020
1916,0,0,0,0,0,0,0,10/29/2020
2051,0,0,0,0,0,0,0,10/29/2020
1086,0,0,0,0,0,0,0,10/28/2020
2116,0,0,0,0,0,0,0,10/28/2020
2223,1,0,0,0,0,0,0,10/28/2020
2230,0,1,0,0,0,0,0,10/28/2020
2713,0,0,0,1,0,0,0,10/28/2020
1166,0,0,0,0,0,0,0,10/27/2020
1461,0,0,0,0,0,0,0,10/27/2020
1631,0,0,0,0,0,0,0,10/27/2020
1703,0,0,0,0,0,0,0,10/27/2020
2024,0,0,0,1,0,0,0,10/27/2020
2287,0,1,1,0,0,0,0,10/27/2020
2529,0,0,0,1,0,0,0,10/27/2020
2970,1,0,1,1,0,0,1,10/27/2020
1029,0,0,0,0,0,0,0,10/26/2020
1087,0,0,0,0,0,0,0,10/26/2020
1405,0,0,0,0,0,0,0,10/26/2020
1482,0,0,0,0,0,0,0,10/26/2020
1657,0,0,0,0,0,0,0,10/26/2020
1745,0,0,0,0,0,0,0,10/26/2020
1915,0,0,0,0,0,0,0,10/26/2020
2119,0,0,0,0,0,0,0,10/26/2020
2372,0,0,0,0,0,0,0,10/26/2020
3070,0,0,0,0,0,0,0,10/26/2020
1128,1,0,0,0,0,0,1,10/23/2020
2044,1,0,0,0,0,0,0,10/23/2020
2241,1,0,0,0,0,0,0,10/23/2020
2561,1,0,0,0,0,0,1,10/23/2020
2859,0,0,0,0,0,0,0,10/23/2020
1458,0,0,0,0,0,0,0,10/22/2020
1905,0,0,0,1,0,0,0,10/22/2020
2226,0,0,0,0,0,0,0,10/22/2020
2593,0,0,0,0,0,0,0,10/22/2020
3196,0,0,0,0,0,0,0,10/22/2020
3211,0,0,0,0,0,0,0,10/22/2020
1572,0,1,0,0,0,0,0,10/21/2020
1669,0,0,1,1,0,0,0,10/20/2020
3081,0,0,0,0,0,0,0,10/20/2020
2370,0,0,0,0,0,0,0,10/19/2020
1184,0,0,0,0,0,0,0,10/17/2020
1624,0,0,0,0,0,0,0,10/17/2020
2349,0,0,0,0,0,0,0,10/17/2020
1047,0,0,0,0,0,0,0,10/16/2020
1083,0,0,1,0,0,0,0,10/16/2020
1143,0,0,0,0,0,0,0,10/16/2020
1204,0,0,0,0,0,0,0,10/16/2020
1275,0,0,0,0,0,0,0,10/16/2020
1796,0,0,0,0,0,0,0,10/16/2020
1823,0,0,0,0,0,0,0,10/16/2020
2015,0,0,1,0,0,0,0,10/16/2020
2238,0,0,0,0,0,0,0,10/16/2020
2927,0,0,0,0,0,0,0,10/16/2020
3123,0,0,0,0,0,0,0,10/16/2020
1062,0,0,0,0,0,0,0,10/15/2020
1169,0,0,0,0,0,0,0,10/15/2020
1763,0,0,0,0,0,0,0,10/15/2020
1935,0,0,0,0,0,0,0,10/15/2020
2123,0,0,0,0,0,0,0,10/15/2020
2842,0,0,0,0,0,0,0,10/15/2020
3105,0,0,0,0,0,0,0,10/15/2020
3155,0,0,1,0,0,0,0,10/15/2020
1120,0,0,0,0,0,0,0,10/14/2020
1170,0,0,0,0,0,0,0,10/14/2020
1931,0,0,0,0,0,0,0,10/14/2020
2733,0,0,0,0,0,0,0,10/14/2020
1460,0,0,0,0,0,0,0,10/13/2020
1096,0,0,0,0,0,0,1,10/12/2020
1932,1,0,0,0,0,0,0,10/12/2020
2165,0,0,0,0,0,0,0,10/12/2020
2692,0,0,0,0,0,0,0,10/12/2020
1593,0,0,0,1,0,0,0,10/11/2020
1939,0,0,0,0,0,0,0,10/11/2020
1942,0,0,0,0,0,0,0,10/11/2020
2625,0,0,0,0,0,0,0,10/11/2020
2934,0,0,0,0,0,0,0,10/11/2020
1404,0,0,0,0,0,0,0,10/10/2020
2499,0,0,0,0,0,0,0,10/10/2020
2359,0,0,0,0,0,0,0,10/9/2020
1376,0,0,0,0,0,0,0,10/8/2020
1412,0,0,0,0,0,0,0,10/8/2020
1904,0,0,0,0,0,0,0,10/8/2020
1909,0,0,0,0,0,0,0,10/8/2020
2069,0,0,0,0,0,0,0,10/7/2020
2930,0,0,0,0,0,0,0,10/7/2020
1735,0,0,0,0,0,0,0,10/6/2020
2215,0,0,0,0,0,0,0,10/6/2020
2365,0,0,0,0,0,0,0,10/6/2020
2620,0,0,0,0,0,0,0,10/6/2020
2774,0,0,0,0,0,0,0,10/6/2020
2866,1,0,1,1,0,0,0,10/6/2020
3061,0,0,0,0,0,0,0,10/6/2020
2047,1,0,0,1,0,0,1,10/5/2020
3180,0,0,0,0,0,0,0,10/5/2020
1069,0,0,0,0,0,0,0,10/4/2020
1264,0,0,0,0,0,0,0,10/4/2020
1874,0,0,0,0,0,0,0,10/4/2020
2856,1,0,0,0,0,0,1,10/4/2020
1684,0,1,1,1,0,0,1,10/3/2020
1716,0,1,1,1,0,0,1,10/3/2020
2350,0,0,0,0,0,0,0,10/3/2020
3124,0,0,0,0,0,0,0,10/3/2020
1054,0,0,0,0,0,0,0,10/2/2020
2337,0,0,0,0,0,0,0,10/2/2020
2553,0,1,1,0,0,0,0,10/2/2020
2783,0,0,0,0,0,0,1,10/2/2020
2489,0,0,0,0,0,0,0,10/1/2020
2072,0,0,0,0,0,0,0,9/30/2020
2575,0,0,0,0,0,0,0,9/29/2020
2918,0,0,0,0,0,0,0,9/29/2020
1140,0,0,0,0,0,0,0,9/28/2020
1410,0,1,1,1,0,0,0,9/28/2020
1742,0,0,0,0,0,0,0,9/28/2020
2108,0,0,0,0,0,0,0,9/28/2020
2711,0,0,0,0,0,0,0,9/28/2020
2715,0,1,0,0,0,0,0,9/28/2020
2021,1,0,0,0,0,0,0,9/27/2020
2414,0,0,0,0,0,0,0,9/27/2020
2559,0,0,0,0,0,0,0,9/27/2020
2817,0,0,0,0,0,0,0,9/27/2020
3150,0,0,0,0,0,0,0,9/27/2020
1354,0,0,0,0,0,0,0,9/26/2020
1159,0,0,0,0,0,0,0,9/25/2020
1161,0,0,0,0,0,0,0,9/25/2020
2378,0,0,0,0,0,0,0,9/25/2020
3164,0,0,0,0,0,0,0,9/25/2020
2173,0,0,0,0,0,0,0,9/24/2020
2224,0,0,0,0,0,0,0,9/24/2020
2317,0,0,0,0,0,0,0,9/24/2020
2885,0,0,0,0,0,0,0,9/24/2020
1996,0,0,0,0,0,0,0,9/23/2020
2849,0,0,0,0,0,0,0,9/23/2020
1569,0,0,0,0,0,0,0,9/22/2020
1995,0,0,0,0,0,0,0,9/22/2020
2306,0,0,0,0,0,0,0,9/22/2020
2700,0,0,0,0,0,0,1,9/22/2020
2857,0,0,0,0,0,0,0,9/22/2020
1271,0,0,0,0,0,0,0,9/21/2020
2217,0,0,0,0,0,0,0,9/21/2020
1221,0,0,0,0,0,0,0,9/20/2020
1287,0,0,0,0,0,0,0,9/20/2020
2772,0,0,0,0,0,0,0,9/20/2020
2847,0,0,0,0,0,0,0,9/20/2020
2543,0,0,0,0,0,0,0,9/19/2020
1210,0,0,0,0,0,0,0,9/18/2020
1762,0,0,0,0,0,0,0,9/18/2020
1290,0,0,0,0,0,0,0,9/17/2020
1636,0,0,0,0,0,0,0,9/17/2020
1901,1,0,0,0,1,0,0,9/17/2020
2438,1,0,0,0,1,0,0,9/17/2020
2876,0,0,0,0,0,0,0,9/17/2020
2964,0,0,0,0,0,0,0,9/17/2020
2275,0,0,0,0,0,0,0,9/16/2020
2766,0,0,0,0,0,0,0,9/16/2020
1208,0,0,0,0,0,0,0,9/15/2020
2045,0,0,0,0,0,0,0,9/15/2020
2396,0,0,0,0,0,0,0,9/15/2020
2585,0,0,0,0,0,0,0,9/15/2020
2953,0,0,0,0,0,0,1,9/14/2020
1680,0,0,0,1,0,0,0,9/13/2020
1886,0,0,0,0,0,0,0,9/13/2020
1535,1,0,0,0,0,0,1,9/12/2020
1911,0,0,0,0,0,0,0,9/12/2020
1997,0,0,1,0,0,0,0,9/11/2020
2031,0,0,1,0,0,0,0,9/11/2020
2251,0,1,0,0,0,0,0,9/11/2020
2795,0,0,0,1,0,0,0,9/11/2020
1260,0,0,0,0,0,0,0,9/10/2020
1740,0,0,0,0,0,0,0,9/10/2020
3103,0,0,0,0,0,0,0,9/10/2020
1411,0,1,0,1,0,0,0,9/9/2020
1480,0,0,0,0,0,0,0,9/9/2020
1761,0,0,0,0,0,0,0,9/9/2020
1859,0,0,0,0,0,0,0,9/9/2020
2179,0,0,0,0,0,0,0,9/9/2020
2502,0,0,0,0,0,0,0,9/9/2020
2570,0,0,0,0,0,0,0,9/9/2020
3041,0,0,0,0,0,0,0,9/9/2020
3185,0,0,0,0,0,0,0,9/9/2020
1163,1,0,0,0,0,0,0,9/8/2020
1854,0,0,0,0,0,0,0,9/8/2020
1568,0,0,0,0,0,0,0,9/7/2020
2135,0,0,0,0,0,0,0,9/7/2020
2968,0,1,1,0,0,0,0,9/7/2020
2698,0,0,1,0,0,0,0,9/6/2020
